catalogue_index	tf_symbol	present_in_rna	exclusion_reason	reference_name	reference_version
313	GPBP1	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
314	GPBP1L1	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
315	GRHL1	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
316	GRHL2	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
317	GRHL3	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
318	GSC	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
319	GSC2	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
320	GSX1	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
321	GSX2	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
322	GTF2B	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
323	GTF2I	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
324	GTF2IRD1	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
325	GTF2IRD2	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
326	GTF2IRD2B	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
327	GTF3A	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
328	GZF1	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
329	HAND1	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
330	HAND2	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
331	HBP1	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
333	HELT	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
335	HES2	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
336	HES3	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
338	HES5	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
339	HES6	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
340	HES7	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
342	HEY1	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
343	HEY2	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
344	HEYL	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
345	HHEX	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
346	HIC1	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
347	HIC2	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
349	HIF3A	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
350	HINFP	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
351	HIVEP1	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
352	HIVEP2	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
354	HKR1	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
355	HLF	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
356	HLX	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
357	HMBOX1	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
