tf_symbol	tf_symbol_original	catalogue_index	reference_name	reference_version
GFI1	GFI1	300	Lambert_human_TFs	v1.01
GFI1B	GFI1B	301	Lambert_human_TFs	v1.01
GLI1	GLI1	302	Lambert_human_TFs	v1.01
GLI2	GLI2	303	Lambert_human_TFs	v1.01
GLI3	GLI3	304	Lambert_human_TFs	v1.01
GLI4	GLI4	305	Lambert_human_TFs	v1.01
GLIS1	GLIS1	306	Lambert_human_TFs	v1.01
GLIS2	GLIS2	307	Lambert_human_TFs	v1.01
GLIS3	GLIS3	308	Lambert_human_TFs	v1.01
GLMP	GLMP	309	Lambert_human_TFs	v1.01
GLYR1	GLYR1	310	Lambert_human_TFs	v1.01
GMEB1	GMEB1	311	Lambert_human_TFs	v1.01
GMEB2	GMEB2	312	Lambert_human_TFs	v1.01
GPBP1	GPBP1	313	Lambert_human_TFs	v1.01
GPBP1L1	GPBP1L1	314	Lambert_human_TFs	v1.01
GRHL1	GRHL1	315	Lambert_human_TFs	v1.01
GRHL2	GRHL2	316	Lambert_human_TFs	v1.01
GRHL3	GRHL3	317	Lambert_human_TFs	v1.01
GSC	GSC	318	Lambert_human_TFs	v1.01
GSC2	GSC2	319	Lambert_human_TFs	v1.01
GSX1	GSX1	320	Lambert_human_TFs	v1.01
GSX2	GSX2	321	Lambert_human_TFs	v1.01
GTF2B	GTF2B	322	Lambert_human_TFs	v1.01
GTF2I	GTF2I	323	Lambert_human_TFs	v1.01
GTF2IRD1	GTF2IRD1	324	Lambert_human_TFs	v1.01
GTF2IRD2	GTF2IRD2	325	Lambert_human_TFs	v1.01
GTF2IRD2B	GTF2IRD2B	326	Lambert_human_TFs	v1.01
GTF3A	GTF3A	327	Lambert_human_TFs	v1.01
GZF1	GZF1	328	Lambert_human_TFs	v1.01
HAND1	HAND1	329	Lambert_human_TFs	v1.01
HAND2	HAND2	330	Lambert_human_TFs	v1.01
HBP1	HBP1	331	Lambert_human_TFs	v1.01
HDX	HDX	332	Lambert_human_TFs	v1.01
HELT	HELT	333	Lambert_human_TFs	v1.01
HES1	HES1	334	Lambert_human_TFs	v1.01
HES2	HES2	335	Lambert_human_TFs	v1.01
HES3	HES3	336	Lambert_human_TFs	v1.01
HES4	HES4	337	Lambert_human_TFs	v1.01
HES5	HES5	338	Lambert_human_TFs	v1.01
HES6	HES6	339	Lambert_human_TFs	v1.01
HES7	HES7	340	Lambert_human_TFs	v1.01
HESX1	HESX1	341	Lambert_human_TFs	v1.01
HEY1	HEY1	342	Lambert_human_TFs	v1.01
HEY2	HEY2	343	Lambert_human_TFs	v1.01
HEYL	HEYL	344	Lambert_human_TFs	v1.01
HHEX	HHEX	345	Lambert_human_TFs	v1.01
HIC1	HIC1	346	Lambert_human_TFs	v1.01
HIC2	HIC2	347	Lambert_human_TFs	v1.01
HIF1A	HIF1A	348	Lambert_human_TFs	v1.01
HIF3A	HIF3A	349	Lambert_human_TFs	v1.01
HINFP	HINFP	350	Lambert_human_TFs	v1.01
HIVEP1	HIVEP1	351	Lambert_human_TFs	v1.01
HIVEP2	HIVEP2	352	Lambert_human_TFs	v1.01
HIVEP3	HIVEP3	353	Lambert_human_TFs	v1.01
HKR1	HKR1	354	Lambert_human_TFs	v1.01
HLF	HLF	355	Lambert_human_TFs	v1.01
HLX	HLX	356	Lambert_human_TFs	v1.01
HMBOX1	HMBOX1	357	Lambert_human_TFs	v1.01
HMG20A	HMG20A	358	Lambert_human_TFs	v1.01
HMG20B	HMG20B	359	Lambert_human_TFs	v1.01
HMGA1	HMGA1	360	Lambert_human_TFs	v1.01
HMGA2	HMGA2	361	Lambert_human_TFs	v1.01
HMGN3	HMGN3	362	Lambert_human_TFs	v1.01
HMX1	HMX1	363	Lambert_human_TFs	v1.01
HMX2	HMX2	364	Lambert_human_TFs	v1.01
HMX3	HMX3	365	Lambert_human_TFs	v1.01
HNF1A	HNF1A	366	Lambert_human_TFs	v1.01
HNF1B	HNF1B	367	Lambert_human_TFs	v1.01
HNF4A	HNF4A	368	Lambert_human_TFs	v1.01
HNF4G	HNF4G	369	Lambert_human_TFs	v1.01
HOMEZ	HOMEZ	370	Lambert_human_TFs	v1.01
HOXA1	HOXA1	371	Lambert_human_TFs	v1.01
HOXA10	HOXA10	372	Lambert_human_TFs	v1.01
HOXA11	HOXA11	373	Lambert_human_TFs	v1.01
HOXA13	HOXA13	374	Lambert_human_TFs	v1.01
HOXA2	HOXA2	375	Lambert_human_TFs	v1.01
HOXA3	HOXA3	376	Lambert_human_TFs	v1.01
HOXA4	HOXA4	377	Lambert_human_TFs	v1.01
HOXA5	HOXA5	378	Lambert_human_TFs	v1.01
HOXA6	HOXA6	379	Lambert_human_TFs	v1.01
HOXA7	HOXA7	380	Lambert_human_TFs	v1.01
HOXA9	HOXA9	381	Lambert_human_TFs	v1.01
HOXB1	HOXB1	382	Lambert_human_TFs	v1.01
HOXB13	HOXB13	383	Lambert_human_TFs	v1.01
HOXB2	HOXB2	384	Lambert_human_TFs	v1.01
HOXB3	HOXB3	385	Lambert_human_TFs	v1.01
HOXB4	HOXB4	386	Lambert_human_TFs	v1.01
HOXB5	HOXB5	387	Lambert_human_TFs	v1.01
HOXB6	HOXB6	388	Lambert_human_TFs	v1.01
HOXB7	HOXB7	389	Lambert_human_TFs	v1.01
HOXB8	HOXB8	390	Lambert_human_TFs	v1.01
HOXB9	HOXB9	391	Lambert_human_TFs	v1.01
HOXC10	HOXC10	392	Lambert_human_TFs	v1.01
HOXC11	HOXC11	393	Lambert_human_TFs	v1.01
HOXC12	HOXC12	394	Lambert_human_TFs	v1.01
HOXC13	HOXC13	395	Lambert_human_TFs	v1.01
HOXC4	HOXC4	396	Lambert_human_TFs	v1.01
HOXC5	HOXC5	397	Lambert_human_TFs	v1.01
